"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"135","DE","38.83","10.71","3.04","1.77%","74000","3.25B","S&P 500","54.38B","Yes","2.20","38.80B","Yes","-","3.70","15.43","2.38","4.43","16.07","17.05","61.22","1.40","1.18","-","3.62%","Nov 15 BMO","10.10","14.40%","2.16","0.70%","5.40%","40.60%","-0.20%","-2.60%","8.28%","27.70%","10.10%","-0.07%","82.10%","0.32%","14.10%","27.80%","8.50%","4.60%","28.30%","7.60%","8.91%","-0.47%","35.04%","128.32 - 174.10","2.00M","0.54","63.81","2.10%","3.31","314.16M","315.90M","169.21","777,742","3.40","1.16","0.66%","1.83%","4.09%","3.94%","2.59%","13.28%","15.40%","172.14","173.28","1.87% 1.92%"
"136","DFS","33.94","35.13","1.76","2.22%","16600","2.83B","S&P 500","25.51B","Yes","2.30","11.60B","Yes","-","2.30","8.30","2.08","2.33","2.26","9.29","4.70","2.20","0.90","-","0.39%","Oct 22 AMC","8.53","10.35%","2.30","9.50%","21.40%","31.30%","9.00%","12.90%","-1.38%","-","0.50%","-4.96%","90.30%","0.30%","51.90%","18.70%","24.40%","2.60%","26.60%","12.90%","3.84%","-14.63%","46.03%","54.36 - 92.98","2.01M","0.60","50.87","1.74%","2.73","315.72M","322.00M","92.85","878,145","1.65","1.63","0.19%","2.70%","-6.03%","-3.07%","3.57%","4.80%","34.33%","79.23","79.38","1.75% 2.00%"
"137","DG","26.18","1.01","1.28","0.79%","135000","1.62B","S&P 500","41.99B","Yes","2.10","26.67B","Yes","1.10","0.38","22.14","0.38","6.22","161.74","26.36","30.03","1.57","2.52","0.10","2.89%","Aug 29 BMO","6.18","10.48%","1.38","13.40%","8.00%","31.90%","7.90%","8.40%","8.05%","30.40%","0.10%","-3.35%","95.90%","0.19%","8.10%","19.50%","6.10%","9.40%","25.00%","18.10%","25.15%","0.15%","67.76%","98.08 - 164.29","1.81M","0.62","71.64","1.34%","1.90","256.64M","257.79M","167.17","813,369","2.68","0.53","1.02%","31.83%","3.94%","15.28%","1.46%","46.80%","50.69%","162.87","164.54","1.25% 1.60%"
"138","DGX","40.44","2.02","2.12","2.02%","46000","708.00M","S&P 500","14.14B","Yes","2.50","7.57B","Yes","0.80","0.73","15.41","0.58","2.59","51.79","20.33","21.79","1.87","3.64","0.80","-2.21%","Oct 22 BMO","5.15","5.58%","1.71","-0.50%","3.20%","9.20%","1.10%","1.80%","-0.88%","35.10%","0.40%","-40.67%","93.10%","0.25%","14.20%","38.30%","9.60%","6.40%","13.70%","9.80%","7.09%","-4.86%","30.11%","78.95 - 107.97","928.22K","1.44","43.17","2.94%","4.24","134.00M","135.00M","108.19","976,425","1.61","0.86","-1.92%","22.13%","-1.40%","5.49%","1.68%","2.44%","25.77%","104.73","102.72","1.30% 1.44%"
"139","DHI","25.90","2.27","0.60","1.12%","8437","1.58B","S&P 500","20.33B","Yes","2.20","17.06B","Yes","-","0.36","11.64","0.28","2.07","23.53","12.85","597.97","1.19","0.99","-","2.97%","Nov 12 BMO","4.16","13.00%","1.25","26.40%","6.40%","49.30%","20.80%","10.60%","7.00%","22.30%","8.24%","-0.06%","86.80%","0.32%","12.20%","13.60%","9.30%","10.70%","17.00%","12.90%","21.46%","-0.90%","66.47%","32.39 - 54.41","4.23M","0.66","66.46","3.17%","2.60","345.65M","380.09M","53.47","2,009,058","0.98","1.01","0.80%","15.23%","6.22%","18.87%","1.89%","38.40%","54.33%","53.49","53.92","1.76% 1.83%"
"140","DHR","42.64","7.57","0.68","0.49%","71000","2.44B","S&P 500","98.86B","Yes","1.70","20.25B","Yes","2.30","0.34","24.09","0.33","3.23","18.19","40.45","34.41","4.88","3.62","1.90","-1.93%","Oct 24 BMO","3.41","11.18%","1.15","0.40%","2.50%","6.40%","1.70%","3.50%","-1.84%","55.50%","0.60%","-12.94%","81.90%","0.15%","16.80%","18.80%","12.10%","4.90%","8.40%","7.30%","5.12%","-6.50%","45.63%","94.59 - 147.33","2.18M","0.55","44.72","0.79%","2.30","637.15M","717.57M","154.33","876,104","2.80","0.95","-0.01%","8.68%","-4.29%","-2.71%","-0.71%","31.15%","33.60%","137.77","137.75","1.52% 1.93%"
"141","DIS","50.21","3.73","1.76","1.33%","201000","12.04B","DJIA S&P500","238.53B","Yes","1.90","64.78B","Yes","0.70","0.64","23.37","0.40","2.64","35.45","17.01","98.49","3.68","-","0.70","0.54%","Nov 07 AMC","7.78","-3.26%","0.95","16.40%","-57.90%","27.10%","5.70%","32.90%","-2.05%","40.90%","0.20%","0.00%","67.40%","0.48%","24.80%","22.10%","19.00%","7.90%","17.60%","16.50%","2.47%","-10.86%","30.71%","100.35 - 147.15","8.33M","0.72","48.56","0.99%","2.14","1.80B","1.80B","152.65","4,388,881","2.05","0.97","-0.91%","-0.06%","-3.24%","-5.35%","2.34%","13.93%","20.72%","132.37","131.16","1.35% 1.57%"
"142","DISCA","18.22","2.62","-","-","9000","1.27B","S&P 500","14.04B","Yes","2.40","10.99B","Yes","1.30","1.74","7.10","1.56","1.53","10.63","11.64","4.86","1.28","0.62","1.30","2.58%","Nov 07 BMO","2.40","18.89%","0.83","-10.40%","348.90%","222.20%","13.80%","1.40%","0.85%","68.20%","1.40%","0.31%","-","0.20%","24.90%","0.00%","11.50%","-","-","5.90%","-2.94%","-20.49%","16.60%","23.79 - 34.89","3.69M","0.68","53.97","6.30%","8.57","501.54M","503.42M","34.70","1,818,873","0.70","1.54","-0.54%","-7.43%","2.50%","-11.35%","1.99%","-15.64%","12.73%","27.89","27.74","2.35% 2.42%"
"143","DISCK","13.65","-","-","-","9000","-","S&P 500","-","Yes","3.00","10.99B","Yes","-","-","6.82","-","1.90","-","12.60","-","-","1.15","-","3.07%","Nov 05 BMO","2.06","11.00%","0.83","-","338.40%","75.40%","-","1.40%","0.79%","-","3.28%","-","87.89%","-","-","-","-","-","-","-","-3.00%","-17.91%","17.78%","21.99 - 31.55","2.77M","0.73","54.58","2.73%","4.93","501.52M","-","29.33","1,458,406","0.64","-","-0.31%","-7.31%","2.04%","-10.41%","1.60%","-13.63%","12.56%","25.98","25.90","2.26% 2.32%"
"144","DISH","19.87","5.70","-","-","16000","1.43B","S&P 500","16.73B","Yes","2.60","13.10B","Yes","0.60","1.62","17.79","1.37","1.76","6.12","12.88","8.24","1.28","-","0.60","2.96%","Nov 06 AMC","2.71","-","0.61","10.00%","-28.00%","68.60%","-0.40%","-7.20%","3.16%","29.00%","2.90%","6.18%","90.80%","0.10%","14.80%","0.00%","10.90%","4.60%","16.20%","6.80%","2.30%","-22.05%","49.91%","23.22 - 44.65","2.72M","0.31","58.59","5.62%","5.07","245.06M","479.73M","43.21","615,575","0.91","1.40","-0.20%","-0.03%","-1.94%","-14.70%","5.22%","2.14%","39.69%","34.88","34.81","2.51% 2.43%"
"145","DLR","40.63","0.16","4.32","3.28%","1530","226.10M","S&P 500","27.74B","Yes","2.30","3.16B","Yes","-","1.30","88.32","1.30","3.24","827.99","121.22","114.48","8.77","7.28","-","2.97%","Oct 29 AMC","1.09","16.66%","0.28","-10.60%","-51.90%","22.20%","15.50%","6.10%","5.56%","63.30%","0.05%","-22.55%","-","0.44%","16.30%","376.60%","7.10%","1.00%","2.60%","2.80%","12.21%","0.40%","32.78%","100.05 - 132.32","1.24M","0.48","65.60","8.03%","13.50","208.24M","210.50M","126.80","429,551","2.06","0.40","0.82%","9.40%","5.16%","11.93%","0.86%","19.80%","23.67%","131.77","132.85","1.29% 1.46%"
"146","DLTR","24.69","2.66","-","-","57200","-1577.00M","S&P 500","27.46B","Yes","2.20","23.29B","Yes","1.10","0.73","19.77","0.60","4.75","44.06","-","26.88","1.18","-","0.20","2.71%","Aug 29 BMO","-6.63","6.92%","1.13","-34.80%","-34.10%","-237.90%","23.80%","3.90%","9.98%","29.90%","1.30%","-5.26%","98.40%","1.63%","-4.70%","-","-6.80%","-9.10%","-25.00%","-12.20%","13.05%","-0.48%","44.47%","81.02 - 117.62","2.13M","0.45","68.46","2.51%","2.75","233.21M","234.00M","114.17","696,438","2.16","0.56","-0.27%","8.01%","4.55%","8.48%","3.04%","35.69%","29.95%","117.37","117.05","1.14% 1.92%"
"147","DOV","20.33","2.21","1.96","1.93%","24000","616.20M","S&P 500","14.74B","Yes","2.30","7.09B","Yes","1.30","1.12","16.15","1.00","4.99","45.87","24.35","37.68","2.08","2.43","0.90","6.31%","Oct 17 BMO","4.16","10.00%","1.52","-3.40%","24.50%","-12.50%","-0.50%","0.70%","8.51%","36.70%","0.10%","-23.79%","89.00%","0.06%","12.50%","46.50%","8.50%","7.00%","21.30%","11.90%","10.51%","-1.46%","56.33%","65.83 - 104.44","870.58K","1.70","67.39","3.51%","5.76","142.82M","145.37M","107.27","1,083,675","2.41","1.49","1.51%","3.68%","2.08%","3.32%","6.81%","21.79%","42.89%","101.38","102.91","2.65% 1.98%"
"148","DOW","24.10","3.46","2.80","5.86%","37000","2.06B","DJIA S&P500","35.53B","Yes","2.50","51.57B","Yes","1.60","1.00","11.00","0.96","1.98","13.83","17.25","-","0.69","5.36","1.00","3.16%","Oct 24 BMO","2.77","3.22%","0.74","-","-90.30%","862.30%","-","-13.90%","5.60%","17.90%","0.10%","-","68.40%","0.27%","6.60%","41.50%","4.90%","3.30%","9.60%","9.90%","-3.18%","-20.92%","18.35%","40.44 - 60.52","4.20M","0.52","60.11","1.40%","2.48","742.61M","743.21M","54.32","1,590,695","1.37","-","0.11%","-17.24%","0.63%","-7.20%","6.43%","-","-4.00%","47.81","47.86","3.08% 2.74%"
"149","DRE","12.90","0.02","0.86","2.53%","400","229.80M","S&P 500","12.19B","Yes","1.90","1.00B","Yes","-","0.61","56.66","0.61","2.63","1400.79","53.03","79.50","12.13","8.84","-","0.84%","Oct 30 AMC","0.64","6.00%","0.14","91.70%","-63.10%","33.60%","-0.40%","12.50%","1.99%","62.00%","0.10%","-4.80%","96.60%","0.12%","31.40%","131.30%","23.00%","2.90%","5.00%","6.20%","8.58%","-1.28%","37.83%","24.67 - 34.44","2.01M","0.57","57.46","1.26%","2.25","359.07M","359.07M","35.22","838,100","0.49","0.69","0.16%","12.65%","2.01%","2.97%","1.83%","23.55%","31.04%","33.94","33.99","1.19% 1.35%"
"150","DRI","19.38","2.85","3.52","3.23%","184514","721.50M","S&P 500","13.41B","Yes","2.20","8.58B","Yes","0.40","0.00","16.02","0.39","5.63","38.24","18.90","-","1.56","2.19","0.30","-4.12%","Sep 19 BMO","5.77","8.63%","1.07","33.00%","2.70%","37.70%","6.20%","3.50%","-7.62%","21.70%","0.30%","-21.79%","95.10%","0.00%","-","-","-","-","-","23.20%","-5.68%","-14.20%","14.97%","95.83 - 128.41","1.26M","0.67","33.00","4.77%","4.62","122.29M","122.90M","126.81","607,788","2.05","0.37","0.95%","-6.61%","-14.15%","-12.27%","-2.58%","-0.86%","9.29%","109.14","110.18","1.37% 1.72%"
"151","DTE","56.81","0.34","3.78","2.92%","10600","1.11B","S&P 500","23.81B","Yes","2.60","13.70B","Yes","0.70","1.45","19.71","1.31","2.28","383.99","21.37","13.91","1.74","4.80","0.50","-2.93%","Oct 23 BMO","6.06","4.45%","1.98","10.70%","-23.50%","9.70%","8.00%","-8.60%","-2.18%","-","0.20%","-9.74%","74.70%","0.18%","11.70%","60.10%","8.10%","3.10%","10.70%","6.20%","1.62%","-5.15%","18.87%","107.22 - 134.37","1.06M","1.70","37.37","3.31%","5.72","182.32M","183.87M","136.23","1,312,041","1.64","0.22","-1.57%","5.09%","-1.63%","0.54%","-0.62%","16.40%","17.39%","129.48","127.45","1.09% 1.20%"
"152","DUK","60.77","-","3.78","3.97%","30083","3.26B","S&P 500","69.57B","Yes","2.80","24.78B","Yes","0.70","1.38","18.43","1.23","1.57","-","21.01","-","2.81","5.13","0.50","-0.52%","Nov 08 BMO","4.53","4.09%","1.70","0.60%","57.00%","-10.70%","1.50%","4.10%","1.82%","69.60%","0.06%","-6.99%","61.90%","0.17%","20.70%","81.80%","13.20%","2.20%","7.50%","4.20%","6.31%","-2.12%","17.83%","80.89 - 97.37","2.69M","0.61","52.74","1.34%","3.61","728.09M","731.03M","96.53","1,197,395","1.04","0.08","0.15%","6.76%","0.97%","7.60%","-1.16%","17.58%","10.28%","95.17","95.31","0.99% 1.05%"
"153","DVA","24.34","22.59","-","-","77700","547.50M","S&P 500","9.17B","Yes","2.40","11.25B","Yes","1.10","2.21","10.91","1.33","2.38","2.56","17.59","8.16","0.81","0.92","1.10","3.18%","Nov 06 AMC","3.29","19.16%","1.23","4.40%","2.60%","4.20%","-0.60%","-1.50%","1.24%","28.80%","0.40%","0.00%","96.80%","0.14%","13.00%","0.00%","1.20%","0.70%","3.50%","9.20%","5.91%","-26.13%","34.64%","43.40 - 79.11","3.01M","0.42","56.75","6.98%","3.64","156.67M","158.54M","66.55","909,301","1.42","1.59","1.01%","10.76%","-5.63%","3.21%","3.64%","-17.86%","12.42%","57.85","58.44","1.85% 2.34%"
"154","DVN","17.10","8.76","0.36","1.77%","2900","1.23B","S&P 500","8.07B","Yes","2.30","9.44B","Yes","1.50","0.61","10.10","0.61","1.19","2.33","7.95","-","0.86","0.98","1.50","-11.61%","Nov 05 AMC","2.56","8.10%","0.20","88.60%","135.00%","-1.20%","0.60%","-0.10%","-13.78%","80.40%","0.30%","-0.46%","89.80%","0.37%","18.90%","4.00%","40.80%","20.70%","46.80%","8.70%","-26.25%","-43.96%","-0.25%","20.09 - 35.76","7.07M","0.61","30.22","5.28%","2.93","391.83M","396.03M","32.64","3,116,558","0.97","2.41","-1.67%","-39.25%","-23.09%","-22.63%","-2.16%","-45.04%","-9.58%","20.38","20.04","3.65% 3.69%"
"155","DXC","40.87","7.00","0.84","3.01%","130000","1.09B","-","7.45B","Yes","2.40","20.36B","Yes","0.90","0.86","3.33","0.72","0.68","3.99","7.08","10.48","0.37","1.06","0.90","-6.51%","Nov 07 AMC","3.94","6.69%","1.43","-6.00%","-29.60%","-21.10%","9.80%","-7.40%","-15.93%","27.80%","0.80%","-1.47%","91.10%","0.87%","7.70%","17.90%","5.70%","3.90%","10.40%","7.60%","-49.49%","-70.31%","2.65%","26.02 - 89.96","4.91M","0.65","35.04","5.29%","2.79","259.30M","267.00M","50.87","2,329,797","1.26","1.96","-4.27%","-56.80%","-12.89%","-50.12%","4.93%","-69.02%","-47.53%","27.90","26.71","4.30% 3.55%"
"156","EA","21.84","17.46","-","-","9700","2.15B","S&P 500","28.74B","Yes","2.10","5.02B","Yes","3.50","0.15","19.14","0.15","4.43","5.54","13.56","19.78","5.72","2.19","3.50","-0.23%","Oct 29 AMC","7.14","6.19%","0.85","165.30%","402.80%","-18.70%","6.70%","6.30%","0.15%","74.20%","0.20%","-21.08%","97.60%","0.06%","22.10%","0.00%","42.80%","23.80%","38.20%","14.80%","0.63%","-12.39%","28.96%","73.91 - 108.80","3.21M","0.82","49.92","2.80%","2.56","293.35M","297.00M","111.48","1,928,806","2.17","0.94","-1.49%","3.89%","-1.55%","10.58%","4.57%","-9.92%","22.62%","96.76","95.32","2.04% 2.17%"
"157","EBAY","4.77","5.41","0.56","1.43%","14000","1.94B","S&P 500","32.26B","Yes","2.60","10.86B","Yes","1.30","2.27","12.64","1.76","8.19","7.23","18.73","14.58","2.97","1.45","1.30","0.47%","Oct 23 AMC","2.09","12.89%","0.64","5.80%","-26.90%","6.20%","5.40%","1.80%","-1.79%","77.40%","0.30%","-17.28%","90.30%","0.45%","22.20%","10.80%","22.10%","10.70%","42.60%","10.10%","3.32%","-7.50%","49.37%","26.01 - 42.00","7.25M","0.67","48.90","2.87%","3.13","790.48M","825.27M","42.27","3,532,564","0.67","1.41","-0.61%","8.64%","-3.15%","-2.79%","3.06%","21.21%","39.26%","39.09","38.85","1.31% 1.62%"
"158","ECL","28.60","0.43","1.84","0.95%","49000","1.57B","S&P 500","55.81B","Yes","2.50","14.77B","Yes","1.20","0.86","29.33","0.73","6.78","446.45","36.20","51.70","3.78","2.67","0.80","-0.17%","Oct 29 BMO","5.36","13.55%","1.71","10.50%","1.90%","14.10%","2.00%","1.90%","-2.67%","41.20%","0.20%","-24.89%","89.90%","0.29%","13.30%","33.50%","10.10%","7.30%","18.50%","11.20%","5.52%","-7.45%","43.07%","135.77 - 209.87","1.01M","0.55","45.39","1.37%","3.87","286.34M","287.60M","203.88","404,504","3.17","0.83","0.10%","5.92%","-1.03%","-1.64%","0.44%","30.69%","31.69%","194.04","194.24","1.24% 1.48%"
"159","ED","53.94","2.48","2.96","3.24%","15307","1.34B","S&P 500","30.60B","Yes","3.20","12.54B","Yes","0.60","1.17","20.02","0.99","1.69","36.82","21.67","13.54","2.44","6.28","0.60","-1.69%","Oct 31 AMC","4.21","3.45%","1.60","4.10%","-23.40%","-80.10%","0.00%","1.80%","1.01%","78.70%","0.20%","0.28%","63.10%","0.50%","21.80%","68.80%","10.70%","2.50%","7.90%","6.00%","6.88%","-3.71%","24.77%","73.29 - 94.97","1.55M","0.44","47.12","2.21%","4.72","331.60M","335.13M","89.47","494,668","1.00","0.06","0.16%","9.20%","-0.20%","4.65%","-1.88%","19.97%","19.41%","91.30","91.45","0.99% 1.03%"
"160","EFX","21.05","1.12","1.56","1.06%","10900","-425.10M","S&P 500","17.72B","Yes","2.40","3.40B","Yes","0.50","1.13","24.29","1.11","6.97","130.50","-","-","5.22","-","0.50","2.95%","Oct 23 AMC","-3.53","3.43%","1.44","-1.70%","-54.10%","-44.30%","8.20%","0.40%","1.96%","55.40%","0.20%","0.00%","98.10%","0.19%","-11.60%","-","-12.50%","-5.80%","-14.90%","6.90%","15.26%","-2.41%","63.52%","88.68 - 148.59","789.41K","0.73","57.93","2.89%","4.41","120.44M","120.80M","142.38","423,358","2.72","1.21","-1.15%","16.71%","3.59%","6.85%","3.67%","17.87%","57.52%","146.70","145.01","1.56% 1.75%"
"161","EIX","32.88","0.69","2.45","3.47%","12574","-281.00M","S&P 500","26.28B","Yes","2.20","12.91B","Yes","0.70","1.64","15.56","1.48","2.15","102.26","-","-","2.04","-","0.60","-4.57%","Oct 29 AMC","-0.87","3.90%","1.60","-20.30%","42.20%","-144.60%","0.10%","-0.10%","-3.69%","57.30%","0.06%","0.00%","83.20%","0.83%","-3.50%","-","-1.90%","-0.40%","-2.30%","0.70%","7.73%","-8.07%","54.46%","45.50 - 76.45","2.64M","0.31","36.72","2.07%","2.80","357.63M","372.45M","80.15","601,187","1.46","0.12","-0.40%","11.84%","-2.10%","0.56%","-4.89%","1.48%","24.29%","70.56","70.28","2.54% 1.96%"
"162","EL","12.12","-","1.72","0.92%","48000","1.79B","S&P 500","66.26B","Yes","2.10","14.86B","Yes","1.60","0.78","28.09","0.66","15.49","-","38.85","56.92","4.46","3.41","1.10","-3.95%","Oct 31 BMO","4.83","11.39%","1.60","9.50%","-27.70%","18.30%","6.30%","9.00%","-4.40%","77.20%","0.30%","-83.50%","93.50%","0.26%","15.60%","34.00%","12.00%","13.90%","40.40%","23.10%","8.22%","-10.47%","52.93%","121.47 - 207.50","1.63M","1.32","37.88","3.02%","3.89","210.57M","353.01M","210.48","1,578,976","4.34","0.78","-1.03%","10.20%","-2.25%","-1.64%","-1.05%","46.09%","44.27%","187.70","185.77","2.59% 2.04%"
"163","EMN","42.59","1.35","2.48","3.41%","14500","903.00M","S&P 500","10.02B","Yes","2.10","9.67B","Yes","1.60","1.08","8.55","0.96","1.71","53.88","11.35","13.56","1.04","2.31","0.80","2.06%","Oct 24 AMC","6.41","4.91%","2.00","-0.10%","-20.00%","3.70%","1.70%","-9.80%","5.63%","24.40%","0.10%","0.00%","85.10%","0.34%","13.80%","36.00%","9.40%","5.60%","15.60%","10.90%","-2.99%","-15.13%","19.47%","61.22 - 86.18","1.08M","0.51","58.49","1.38%","1.74","136.37M","137.80M","86.47","405,785","1.91","1.41","0.58%","-13.46%","0.90%","-7.57%","4.20%","-13.40%","-0.53%","72.72","73.14","2.51% 2.32%"
"164","EMR","14.25","2.61","1.96","2.88%","87500","1.96B","S&P 500","41.80B","Yes","2.30","18.29B","Yes","1.20","0.71","18.14","0.50","4.78","26.08","21.64","45.74","2.29","3.92","0.90","4.91%","Nov 05 BMO","3.14","5.52%","1.08","2.70%","-13.30%","24.10%","-6.70%","5.10%","9.76%","42.40%","0.30%","-2.14%","73.70%","0.40%","16.20%","54.90%","12.10%","10.60%","25.60%","14.40%","5.16%","-7.62%","23.86%","55.38 - 74.26","3.25M","0.82","67.09","0.99%","1.85","611.35M","614.30M","70.76","1,946,719","1.39","1.37","0.81%","-6.15%","4.84%","4.23%","4.61%","-7.50%","13.89%","68.05","68.60","1.88% 2.04%"
"165","EOG","35.73","2.01","1.15","1.72%","2800","3.52B","S&P 500","38.58B","Yes","1.80","17.91B","Yes","1.00","0.25","12.18","0.20","1.87","33.24","11.03","4.90","2.15","1.38","0.80","-10.08%","Nov 07 BMO","6.05","8.00%","1.17","7.60%","21.70%","777.40%","3.70%","10.50%","-13.80%","55.20%","0.20%","0.00%","89.60%","0.42%","25.90%","15.30%","19.90%","10.30%","18.20%","14.10%","-26.64%","-46.28%","-1.83%","66.01 - 120.65","4.11M","0.93","26.45","1.93%","2.71","577.81M","577.81M","108.03","2,792,066","2.37","1.37","-2.94%","-35.72%","-17.89%","-23.29%","-3.11%","-45.39%","-23.44%","66.77","64.81","3.14% 2.78%"
"166","EQIX","103.67","19.04","9.84","1.72%","7903","490.00M","S&P 500","48.98B","Yes","1.70","5.34B","Yes","1.60","1.23","70.83","1.18","5.52","30.04","95.85","-","9.17","4.48","1.60","0.54%","Oct 30 AMC","5.97","21.40%","1.64","20.20%","99.70%","679.70%","18.70%","9.80%","2.94%","49.50%","0.30%","-5.12%","96.08%","0.68%","20.50%","153.10%","9.30%","2.30%","6.30%","4.60%","19.40%","-5.52%","71.87%","335.29 - 609.97","395.87K","0.41","55.63","1.17%","2.49","84.40M","85.66M","569.65","119,045","10.82","0.71","0.78%","28.09%","1.93%","12.88%","-0.06%","40.06%","62.20%","571.84","576.28","1.40% 1.96%"
"167","EQR","27.32","0.67","2.27","2.59%","2700","742.50M","S&P 500","32.74B","Yes","2.80","2.64B","Yes","-","0.90","57.54","0.90","3.21","130.28","44.75","59.53","12.41","16.57","-","1.71%","Oct 22 AMC","1.96","2.70%","0.37","42.10%","161.30%","8.80%","1.50%","4.60%","3.99%","66.00%","0.10%","-49.93%","95.10%","0.18%","38.80%","108.80%","28.20%","3.60%","7.30%","4.50%","13.92%","-0.14%","40.76%","62.78 - 88.49","1.52M","1.00","67.89","1.45%","3.49","365.20M","373.10M","82.68","1,111,557","1.12","0.46","0.71%","16.89%","2.91%","13.74%","-0.47%","36.30%","32.93%","87.75","88.37","1.13% 1.22%"
"168","ES","37.40","0.06","2.14","2.51%","7998","865.80M","S&P 500","27.54B","Yes","2.10","8.60B","Yes","0.60","1.27","23.32","1.14","2.28","1336.67","31.28","-","3.20","5.59","0.60","0.88%","Oct 31 AMC","2.72","5.60%","0.96","5.60%","-87.10%","5.10%","3.00%","1.20%","4.08%","-","0.10%","-4.87%","83.30%","0.30%","17.60%","76.70%","10.00%","2.20%","7.40%","5.40%","14.66%","-0.71%","39.11%","61.57 - 86.26","1.62M","0.40","61.32","5.27%","10.48","321.86M","323.49M","82.50","479,088","0.99","0.20","0.62%","21.67%","2.10%","10.88%","-0.49%","37.38%","30.87%","85.12","85.65","1.33% 1.12%"
"169","ESS","93.66","0.57","7.80","2.37%","1826","409.90M","S&P 500","21.97B","Yes","2.30","1.42B","Yes","-","0.95","55.95","0.95","3.51","575.24","52.86","79.79","15.45","6.69","-","1.12%","Oct 23 AMC","6.22","7.90%","1.34","13.00%","-7.70%","-9.90%","18.10%","3.70%","2.64%","72.60%","0.10%","-56.49%","99.20%","0.31%","32.70%","121.00%","28.80%","3.30%","6.60%","3.80%","12.60%","-0.62%","40.66%","235.51 - 333.32","313.96K","0.44","59.71","1.75%","3.61","64.65M","66.86M","322.14","100,069","4.53","0.31","0.79%","18.10%","0.08%","11.45%","-0.70%","34.31%","34.03%","328.66","331.27","1.16% 1.36%"
"170","ETFC","25.44","5.46","0.56","1.43%","4261","1.02B","S&P 500","9.49B","Yes","2.10","3.13B","Yes","-","6.79","10.94","0.23","1.53","7.14","9.62","7.76","3.03","2.94","-","2.36%","Oct 17 AMC","4.06","3.27%","1.02","67.60%","-4.70%","64.60%","9.10%","1.20%","-1.35%","88.50%","0.40%","-9.33%","95.60%","0.32%","45.50%","10.30%","32.60%","1.60%","16.80%","2.00%","-11.17%","-24.99%","17.73%","34.68 - 54.44","3.67M","3.07","52.95","1.17%","0.76","238.68M","243.01M","42.73","8,233,736","1.39","1.25","4.59%","-23.66%","-13.88%","-17.55%","0.19%","-22.54%","-11.03%","39.04","40.83","2.47% 2.95%"
"171","ETN","38.68","1.89","2.84","3.49%","100000","2.21B","S&P 500","34.32B","Yes","2.40","21.71B","Yes","1.80","0.50","13.38","0.50","2.10","43.06","15.83","23.07","1.58","2.44","1.20","2.07%","Oct 29 BMO","5.14","6.50%","1.52","4.70%","7.80%","-24.90%","-0.40%","0.80%","1.96%","33.00%","0.20%","-11.18%","82.30%","0.35%","12.80%","53.00%","10.20%","7.00%","13.50%","10.20%","3.66%","-7.47%","27.85%","64.46 - 89.07","2.36M","0.63","55.35","2.61%","4.63","419.03M","421.60M","88.30","1,081,826","1.94","1.42","1.23%","-4.46%","-4.20%","1.94%","3.58%","1.43%","18.57%","81.41","82.42","2.36% 2.20%"
